CityNormalized,City,SourceNameVariants,YearsObserved,MissingYears,FirstYear,LastYear,ObservationCount
萍乡,萍乡,萍乡,2024,2017|2018|2019|2020|2021|2022|2023,2024,2024,1
营口,营口,营口,2021|2022|2023|2024,2017|2018|2019|2020,2021,2024,4
蚌埠,蚌埠,蚌埠,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
衡水,衡水,衡水,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
衡阳,衡阳,衡阳,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
衢州,衢州,衢州,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
襄阳,襄阳,襄阳,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
西宁,西宁,西宁,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
西安,西安,西安,2017|2018|2019|2020|2021|2022|2023|2024,,2017,2024,8
许昌,许昌,许昌,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
贵港,贵港,贵港,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
贵阳,贵阳,贵阳,2017|2018|2019|2020|2021|2022|2023|2024,,2017,2024,8
资阳,资阳,资阳,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
赣州,赣州,赣州,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
赤峰,赤峰,赤峰,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
辽源,辽源,辽源,2024,2017|2018|2019|2020|2021|2022|2023,2024,2024,1
达州,达州,达州,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
运城,运城,运城,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
连云港,连云港,连云港,2019|2020|2021|2022|2023|2024,2017|2018,2019,2024,6
通辽,通辽,通辽,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
遂宁,遂宁,遂宁,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
遵义,遵义,遵义,2019|2020|2021|2022|2023|2024,2017|2018,2019,2024,6
邢台,邢台,邢台,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
邯郸,邯郸,邯郸,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
邵阳,邵阳,邵阳,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
郑州,郑州,郑州,2017|2018|2019|2020|2021|2022|2023|2024,,2017,2024,8
郴州,郴州,郴州,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
鄂尔多斯,鄂尔多斯,鄂尔多斯,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
